text,label,proba,pred
On d?ploie en pr?prod cet apr?s-midi.,0.0,0.9964214773202205,1
+44 20 7946 0958,1.0,0.33095509889070096,0
"Votre colis a ?t? livr?, voir le suivi dans votre espace client.",0.0,0.9918294402173257,1
0899 12 34 56,1.0,0.13935266541347305,0
"[LEGIT] Hi Alex, here is the Zoom link for 3pm. No rush.",1.0,0.8387724185131707,1
[LEGIT] Invoice attached from our usual vendor (same IBAN). Call me if needed.,1.0,0.8387724185131707,1
"Caf? d??quipe jeudi 10h, salle A2.",0.0,0.9964214773202202,1
Rappel: rendez-vous m?decin lundi 15h.,0.0,0.4256865558921844,0
[SCAM] URGENT: Your bank account will be closed in 3 hours. Verify now: http://secure-bànk-support.com/login,1.0,0.3192521120199461,0
Alerte : connexion depuis un nouvel appareil. Validez votre identité.,1.0,0.27553765037557426,0
"Rappel : votre facture EDF est impayée, réglez immédiatement.",1.0,0.24501123520098703,0
0810 00 00 00,1.0,0.8387724185131707,1
"Votre TVA n’a pas été réglée, pénalité immédiate si inaction.",1.0,0.31449072875636974,0
+33 7 56 12 34 56,1.0,0.13935266541347313,0
[SCAM] Congratulations! You won 1000€ Amazon gift card. Claim: http://amàzon-prize.win,1.0,0.6972758037401949,1
Facture r?gl?e. Merci pour votre confiance.,0.0,0.5639388548794193,1
"Félicitations ! Vous avez gagné un iPhone 15, répondez vite pour le recevoir.",1.0,0.28778893109662407,0
Message de votre banque : connexion suspecte détectée.,1.0,0.26654312310526496,0
"Confirmation d'inscription au webinaire, lien ci-joint.",0.0,0.9964214773202202,1
"Mise à jour de sécurité obligatoire, connectez-vous à votre espace.",1.0,0.46991667261026254,0
"Bonjour, voici le compte-rendu de la r?union d'hier.",0.0,0.6433474849729516,1
CR hebdo: objectifs atteints ? 92 %.,0.0,0.9964214773202202,1
appelez le,1.0,0.43156898505074526,0
Note interne: mise ? jour des cong?s dans le SIRH.,0.0,0.9954004630338977,1
rappel immdiat,1.0,0.28134482402234673,0
Votre compte bancaire a été suspendu. Cliquez ici pour le réactiver.,1.0,0.5864107429687991,1
[SCAM] Code OTP 431992 – Do not share with anyone (reply to confirm).,1.0,0.31925211201994547,0
+33 9 70 00 00 00,1.0,0.720838354650848,1
Relev?s disponibles sur l?appli. Aucun incident.,0.0,0.9964214773202202,1
numro surtax,1.0,0.8387724185131707,1
"Votre colis est retenu. Payez 2,99€ pour la livraison.",1.0,0.34840723953895064,0
